f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,target
30.0,387.4219,123.0,23.0,233.0,5.347826087,13.7955,7.538461538,23.57507748,13.0,-0.031763301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
52.0,13644.83,866.0,219.0,438.0,3.9543379,1004.29,3.5,28.9350223,18.0,-0.060563417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24.0,517.767,32.0,16.0,263.0,2.0,99.0168,2.142857143,25.14966178,14.0,-0.00748002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
25.0,67712.71,1187.0,156.0,392.0,7.608974359,-3558.29,5.0,298.0898854,17.0,0.172707456,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27.0,240.9886,66.0,37.0,520.0,1.783783784,7.0486,2.0,9.899494937,2.0,-3.36729583,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
53.0,93.34,53.0,22.0,419.0,2.409090909,14.99,1.0,3.685557398,4.0,-0.230258509,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
36.0,1700.41,212.0,30.0,345.0,7.066666667,283.17,5.142857143,40.51228814,7.0,-0.232077115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
38.0,70.0,9.0,4.0,37.0,2.25,70.0,2.333333333,10.40833,3.0,-0.111571776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
22.0,99.0253,16.0,9.0,338.0,1.777777778,-93.7396,1.5,6.240640173,4.0,0.271585111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
31.0,1815.5042,536.0,79.0,656.0,6.784810127,421.9129,9.666666667,20.60712396,9.0,0.393847234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26.0,70.9613,64.0,12.0,678.0,5.333333333,-27.5787,11.5,3.535533906,2.0,-0.374693449,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
32.0,1694.53,274.0,71.0,537.0,3.85915493,56.95,3.818181818,2.078596117,11.0,-0.131749422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26.0,6820.8527,1231.0,286.0,704.0,4.304195804,-174.2196,5.47826087,5.241708035,23.0,0.077366525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29.0,793.1,37.0,22.0,530.0,1.681818182,25.09,3.333333333,20.81665999,3.0,-0.111571776,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
32.0,790.4401,379.0,70.0,206.0,5.414285714,102.4881,4.3,6.805661082,10.0,-0.013088601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
42.0,12634.91,353.0,51.0,293.0,6.921568627,45.1,10.5625,473.6308707,16.0,0.205972513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
52.0,16275.09,553.0,71.0,714.0,7.788732394,306.92,5.0,154.6454269,6.0,0.366965142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,81.0796,88.0,22.0,422.0,4.0,12.9205,6.222222222,6.09507294,9.0,0.215145194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
18.0,9.5,7.0,4.0,267.0,1.75,5.97,1.5,0.353553391,2.0,-0.693147181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
31.0,5643.229,54.0,10.0,575.0,5.4,32.619,5.0,132.1565118,4.0,-0.001848501,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18.0,107.88,107.0,25.0,279.0,4.28,7.58,2.0,4.173328009,4.0,0.184582669,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
32.0,411.05,140.0,52.0,573.0,2.692307692,49.96,3.615384615,8.567230352,13.0,0.104475312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
18.0,26.72,44.0,19.0,188.0,2.315789474,7.44,3.5,1.75547104,8.0,-0.18824054,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
24.0,2717.81,247.0,27.0,492.0,9.148148148,375.8,10.6,44.76556644,10.0,-0.332795819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
17.0,134.75,21.0,6.0,313.0,3.5,86.99,4.75,6.048467437,4.0,0.015649432,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
26.0,30.5,30.0,5.0,263.0,6.0,25.4,12.0,14.14213562,2.0,2.397895273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33.0,111.0,16.0,7.0,142.0,2.285714286,-11.31,1.75,7.941190087,4.0,-0.624319556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24.0,59.14,62.0,22.0,435.0,2.818181818,14.31,5.0,5.507570547,3.0,-0.143841036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30.0,789.4754,122.0,37.0,107.0,3.297297297,167.7293,4.944444444,20.45870127,18.0,0.118720747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27.0,627.093,36.0,11.0,267.0,3.272727273,-78.5064,3.5,30.28033838,10.0,0.078905583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
42.0,61740.59,2198.0,178.0,363.0,12.34831461,4786.2,20.44,794.3969458,25.0,0.064369922,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
45.0,271.32,142.0,48.0,419.0,2.958333333,34.3,1.75,5.130645845,8.0,-0.193845443,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
31.0,5275.53,105.0,20.0,388.0,5.25,684.92,6.666666667,218.6506959,9.0,0.099277837,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19.0,25.4707,16.0,8.0,455.0,2.0,13.9672,2.5,0.417193001,2.0,-0.405493359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
27.0,242.226,189.0,43.0,337.0,4.395348837,-32.0682,7.461538462,6.968112003,13.0,0.001469311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
31.0,20921.2582,797.0,173.0,669.0,4.606936416,4820.4882,6.3,54.78673878,20.0,-0.042928328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
19.0,91.83,27.0,10.0,430.0,2.7,72.92,3.666666667,4.554735631,6.0,-0.089260181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
27.0,12580.1764,615.0,51.0,367.0,12.05882353,837.6664,12.76470588,474.9035553,17.0,0.095712971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
35.0,14234.77,6912.0,200.0,711.0,34.56,1495.1,15.3125,22.82094813,16.0,-0.126638476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
27.0,103.7,95.0,46.0,369.0,2.065217391,14.52,2.222222222,1.567194946,9.0,-0.09217345,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
21.0,77301.7961,3634.0,219.0,270.0,16.59360731,633.9437,12.52941176,205.0170416,17.0,0.250439494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
23.0,54041.44,2938.0,202.0,660.0,14.54455446,5242.04,2.428571429,8.282792835,7.0,-0.1327426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
41.0,44095.45,22053.0,673.0,750.0,32.76820208,8374.64,3.08,3.839270764,25.0,-0.045800452,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26.0,46.0018,47.0,23.0,371.0,2.043478261,14.8013,1.666666667,0.756946655,12.0,0.03484222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
28.0,22618.9556,845.0,63.0,309.0,13.41269841,261.7456,11.5,354.324137,2.0,2.466271334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
37.0,1151.03,289.0,49.0,673.0,5.897959184,105.57,2.1,7.624704002,10.0,0.070127621,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,1396.58,128.0,50.0,675.0,2.56,88.1,3.363636364,20.98598155,11.0,-0.170114454,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24.0,45654.3684,1676.0,258.0,681.0,6.496124031,829.8784,2.846153846,15.86310633,13.0,0.168774258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
24.0,17394.64,1622.0,174.0,697.0,9.32183908,792.6,5.266666667,425.2379789,15.0,0.343900636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
35.0,73021.7,1638.0,151.0,479.0,10.84768212,3452.77,15.25,97.24286991,24.0,-0.036407195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27.0,96.5,25.0,10.0,365.0,2.5,31.17,3.0,8.22597512,4.0,-0.247013991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
22.0,5644.17,617.0,53.0,366.0,11.64150943,299.4,7.5,12.2603819,8.0,-0.366332765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
40.0,1310.28,51.0,20.0,275.0,2.55,77.49,3.5,19.34554212,4.0,0.475032561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
20.0,1144.8657,72.0,26.0,461.0,2.769230769,102.0214,2.5,55.81280468,6.0,0.250135109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
25.0,44.82,14.0,6.0,165.0,2.333333333,6.22,3.0,4.272001873,3.0,-1.445185879,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
36.0,635.88,163.0,40.0,525.0,4.075,31.85,3.0,1.850434312,8.0,-0.301754831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
26.0,41700.1995,2114.0,86.0,623.0,24.58139535,-289.2602,22.58333333,376.3146267,12.0,0.013626749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
33.0,7138.67,555.0,63.0,378.0,8.80952381,2028.02,7.764705882,61.41356632,17.0,0.076549883,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33.0,132.0,13.0,4.0,132.0,3.25,9.0,3.333333333,16.0,3.0,0.255412812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
20.0,228.54,50.0,8.0,217.0,6.25,66.82,7.0,27.38120149,7.0,0.082173693,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
42.0,87918.91,7595.0,267.0,698.0,28.44569288,7868.67,12.08333333,60.95875242,12.0,-0.25136143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
50.0,54.24,14.0,6.0,293.0,2.333333333,6.4,3.0,4.070408456,4.0,0.08719483,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,36.59,29.0,10.0,194.0,2.9,1.17,3.666666667,12.85639141,3.0,-0.693147181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
28.0,1297.97,272.0,82.0,690.0,3.317073171,-62.04,9.6,20.65913841,5.0,-0.286862963,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24.0,161.57,64.0,5.0,57.0,12.8,0.28,15.25,33.09826884,4.0,0.00112253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
28.0,3391.77,64.0,29.0,470.0,2.206896552,733.26,6.0,81.31727984,2.0,-4.069026754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20.0,446.91,163.0,23.0,501.0,7.086956522,167.71,14.42857143,36.00179711,7.0,-0.346236952,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
29.0,7501.7803,256.0,59.0,727.0,4.338983051,1237.1303,5.333333333,31.63542318,6.0,0.043219955,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
47.0,1863.91,285.0,56.0,590.0,5.089285714,353.26,5.214285714,55.21085198,14.0,-0.073523483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
39.0,21008.5943,2101.0,72.0,146.0,29.18055556,2134.8343,2.25,98.96471909,4.0,0.454006687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24.0,8779.7979,304.0,27.0,62.0,11.25925926,1245.6965,12.05882353,237.3562597,17.0,0.119074821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
29.0,1639.67,128.0,12.0,320.0,10.66666667,116.79,4.0,23.35387752,7.0,-0.010905867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
43.0,936.1176,35.0,10.0,220.0,3.5,264.3576,4.0,61.15826464,3.0,0.399253848,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33.0,654.0,50.0,14.0,198.0,3.571428571,254.75,4.0,55.96476164,11.0,-0.229551002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
28.0,68307.7494,1283.0,179.0,566.0,7.167597765,7042.7095,8.16,413.2194315,25.0,-0.01506994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
19.0,98.299,59.0,18.0,522.0,3.277777778,10.6832,3.785714286,6.422424784,14.0,-0.103957101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
20.0,3152.3302,102.0,33.0,290.0,3.090909091,588.1402,2.0,171.0321607,5.0,-0.237433137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
24.0,598.93,187.0,24.0,325.0,7.791666667,126.3,20.75,45.93569076,8.0,-0.2708196,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33.0,61.5,50.0,5.0,179.0,10.0,13.92,12.0,14.8681707,4.0,0.456959852,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
28.0,4249.1,138.0,51.0,219.0,2.705882353,506.77,2.222222222,62.761379,9.0,0.13037852,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
39.0,668.56,768.0,56.0,58.0,13.71428571,87.81,11.82758621,7.680785988,29.0,-0.032914014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
36.0,667.0,47.0,6.0,43.0,7.833333333,191.3,16.5,47.37615434,2.0,0.349776202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
19.0,10.1,7.0,5.0,632.0,1.4,-0.16,1.333333333,0.577350269,3.0,9.62e-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
