f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,target
1239.0,686.298,22.74,176.25,1322.0596,75.0,6948.0,13334.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1251.0,514.884,45.88,3.75,6.0098,174.0,708.0,38807.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1265.0,359.54,1.75,6.25,57359.462,167.0,4980.0,8960.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1277.0,76.3804,16.06,13.75,102332.8555,4.0,0.0,431.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1326.0,3658.94,31.35,41.25,22332.0303,1059.0,13920.0,171215.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1355.0,875.4,0.0,0.0,144766.4629,888.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1370.0,983.35,89.58,21.25,112779.6455,445.0,11688.0,48900.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1382.0,239.976,53.54,1.25,37671.6074,24.0,954.0,6106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1390.0,44.77,12.82,0.0,42.6963,50.0,228.0,983.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1448.0,309.888,0.0,91.25,6646839.175,11.0,0.0,2430.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1456.0,2934.7028,200.37,108.75,40638.8886,892.0,16572.0,150693.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1458.0,1449.87,0.0,20.0,8781531.688,170.0,4104.0,77050.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
1506.0,561.7784,14.34,2.5,1.8096,133.0,3468.0,41004.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1507.0,230.606,41.7,13.75,464.0674,55.0,2208.0,7200.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1524.0,1861.86,21.74,0.0,1372374.348,716.0,4080.0,70511.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1531.0,944.5812,85.83,2.5,201623.1035,252.0,20400.0,9510.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1552.0,1743.552,0.0,33.75,8259355.149,759.0,0.0,1938.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1606.0,154.6272,49.85,50.0,2305.1553,10.0,0.0,1829.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
1705.0,1160.7688,5.25,0.0,348.5996,823.0,0.0,8494.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1710.0,557.218,30.63,37.5,390167.0987,99.0,2412.0,407.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1842.0,867.432,43.07,22.5,66744.501,127.0,15198.0,16289.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1872.0,1093.6604,58.49,1.25,2203662.061,268.0,228.0,1404.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1877.0,1311.07,45.03,37.5,50528.8896,256.0,16572.0,60863.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1910.0,981.58,21.34,0.0,1209.3574,343.0,228.0,37844.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2032.0,485.108,46.52,1.25,4.2793,93.0,8907.0,2653.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2032.0,488.32,28.0,0.0,202221.6533,113.0,18528.0,19833.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2081.0,605.33,1.2,18.75,808.9345,130.0,4584.0,18635.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2096.0,883.17,0.0,0.0,1450858.823,391.0,0.0,179.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2147.0,1105.43,0.02,0.0,265478.4893,332.0,10044.0,740.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2148.0,437.7,0.0,0.0,30611.7959,523.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2150.0,501.036,34.87,0.0,2568.8027,68.0,2862.0,18731.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2159.0,1229.14,57.46,0.0,170993.0713,659.0,348.0,1629.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2161.0,922.2984,8.75,0.0,6862866.961,260.0,3024.0,10680.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2224.0,267.1,41.1,27.5,5466.8838,58.0,7968.0,6906.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2226.0,1322.36,39.31,22.5,73820.5264,257.0,8820.0,61293.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2237.0,1128.11,82.25,35.0,1235577.751,401.0,14616.0,24950.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2272.0,875.4,0.0,0.0,1564279.613,712.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2323.0,231.82,68.24,18.75,19.0537,16.0,4260.0,851.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2347.0,587.4948,7.0,0.0,31568.833,147.0,5478.0,25138.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2357.0,601.7,115.96,107.5,26682.8545,21.0,0.0,5171.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2413.0,275.13,20.87,2.5,123.3301,51.0,972.0,9991.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2440.0,1603.5504,94.78,221.25,366383.0537,304.0,17196.0,48921.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2442.0,214.43,20.05,17.5,44567.5371,15.0,120.0,2770.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
2492.0,944.46,0.02,10.0,1218412.512,353.0,0.0,3035.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2501.0,2517.6648,9.39,411.25,51514296.62,270.0,1428.0,51080.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2615.0,998.09,11.96,2.5,1581541.407,554.0,0.0,1251.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2630.0,1082.948,13.15,1.25,256886.8711,576.0,3024.0,9907.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2639.0,1667.508,58.72,123.75,180711.5362,351.0,21264.0,51902.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2680.0,817.72,19.06,32.5,997772.8184,234.0,3672.0,10727.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2694.0,75.068,37.43,5.0,4824.7158,4.0,0.0,716.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2707.0,841.6484,23.09,0.0,15689313.96,168.0,1872.0,30767.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2750.0,1516.09,13.7,27.5,18422093.07,487.0,0.0,5721.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2848.0,920.21,7.17,0.0,2835940.224,531.0,0.0,179.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2848.0,841.11,28.8,107.5,3094742.592,633.0,5004.0,9125.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2886.0,875.64,0.0,0.0,230007.955,974.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2990.0,650.1268,23.29,6.25,6299003.028,99.0,7110.0,9727.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3054.0,461.88,2.39,0.0,180877.6924,107.0,477.0,1678.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
3089.0,342.046,93.24,16.25,117214.833,87.0,9900.0,5456.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3114.0,1145.61,1.75,22.5,1164443.296,600.0,228.0,21952.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
3171.0,63.0368,23.09,8.75,14.0781,4.0,477.0,586.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3181.0,891.69,1.75,5.0,946378.5332,293.0,0.0,954.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3291.0,199.188,0.01,92.5,87203.6817,4.0,0.0,549.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3298.0,1125.91,166.88,13.75,39512.8291,255.0,24180.0,16174.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
3437.0,929.8244,11.87,16.25,717.7168,477.0,11268.0,25698.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3479.0,188.9,27.86,5.0,5279.8809,32.0,7644.0,4355.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3533.0,1531.48,5.25,1.25,914409.4199,376.0,0.0,10584.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3621.0,1235.29,45.35,0.0,857.1758,561.0,900.0,6193.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3651.0,889.138,1.2,0.0,6065.1719,313.0,0.0,895.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3696.0,1703.374,10.08,0.0,363433.375,212.0,660.0,4493.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
3704.0,1045.3784,1.75,98.75,192469.0263,223.0,24828.0,17867.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3713.0,726.14,2.42,92.5,13224193.42,38.0,1320.0,6685.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
3746.0,70.266,32.48,0.0,194.0635,2.0,0.0,407.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
3772.0,231.2284,32.71,11.25,3216081.784,56.0,2292.0,11998.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3809.0,900.03,5.98,57.5,435275.586,93.0,7155.0,7580.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3817.0,1042.04,10.5,76.25,326820.4102,393.0,16236.0,29519.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3850.0,225.0916,33.76,6.25,202.6494,51.0,972.0,10362.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
3853.0,7466.5368,16.15,53.75,2912.3389,1406.0,158880.0,379475.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
3870.0,413.3,0.0,20.0,28141.0098,100.0,23016.0,9966.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3961.0,535.1804,5.25,7.5,281.1289,148.0,9468.0,18426.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3978.0,3049.782,10.5,222.5,1471732.905,662.0,38160.0,113158.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3978.0,466.4056,11.31,126.25,773825.3633,10.0,0.0,1862.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
4073.0,2040.1756,63.36,173.75,38867395.5,343.0,0.0,1851.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4082.0,262.28,0.0,2.5,8.6738,79.0,2640.0,16450.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4153.0,423.93,7.6,3.75,157.5615,75.0,3408.0,14160.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4183.0,119.722,1.75,10.0,1699954.774,40.0,540.0,1197.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4229.0,510.9708,9.39,11.25,1710288.004,687.0,0.0,1652.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4251.0,355.47,16.74,0.0,80075.2998,273.0,7290.0,8951.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4252.0,929.82,0.0,0.0,152106.7744,779.0,0.0,4246.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
4254.0,437.7,0.0,0.0,62764.5781,28.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4681.0,16387.316,90.13,137.5,3731114.671,1864.0,22188.0,313078.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4792.0,963.33,1.75,5.0,1268950.891,571.0,888.0,4632.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
4846.0,616.95,3.5,0.0,53964.1377,560.0,1716.0,12965.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4870.0,1283.8368,9.62,27.5,1469047.9,468.0,2808.0,13915.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
5374.0,1008.58,0.0,0.0,525649.7168,682.0,0.0,4425.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1375.0,1702.0,0.0,2.5,24.1104,215.0,43419.0,49419.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1813.0,1410.868,13.7,41.25,4691.7998,244.0,3351.0,100896.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2546.0,3437.7,79.2,235.0,670008.252,144.0,2820.0,110699.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2870.0,1031.654,270.49,56.25,124287.8594,82.0,2378.0,35438.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1407.0,154.7092,0.0,17.5,36510850.47,10.0,275.0,1601.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
1751.0,233.952,13.12,15.0,38616.0938,45.0,1494.0,10156.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2362.0,2271.57,5.4,13.75,4422097.197,751.0,0.0,3710.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4205.0,973.12,0.0,3.75,215656.4394,370.0,239.0,179.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
135.0,1249.6436,7.01,45.0,79659.8047,445.0,2816.0,4601.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
489.0,946.768,37.26,21.25,34290.2334,296.0,2069.0,41250.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
629.0,1506.34,61.66,7.5,237319.0733,411.0,22809.0,30443.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
666.0,980.5332,47.72,251.25,1674835.019,99.0,2763.0,5016.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
916.0,125.0288,9.56,1.25,1.6064,49.0,1018.0,1721.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1046.0,78.9904,15.95,3.75,4622.2012,49.0,885.0,2376.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1120.0,899.18,242.98,45.0,150471.0674,110.0,432.0,9614.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2169.0,395.37,30.04,13.75,22353.418,37.0,5890.0,3033.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2271.0,4642.33,5.25,1.25,0.7559,1470.0,6199.0,186886.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
2490.0,60.69,18.95,25.0,1049.9375,1.0,0.0,179.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
2713.0,5979.412,48.38,505.0,83449734.18,1127.0,0.0,58255.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3611.0,1082.25,56.1,368.75,1242062.572,97.0,2963.0,7499.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4024.0,539.05,20.79,17.5,27092.9619,116.0,15098.0,26755.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2290.0,1992.698,31.5,73.75,906277.2929,179.0,47756.0,37452.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
