f0,f1,f2,f3,f4,f5,f6,target
0.447502,0.0,0.043203,0.574234,0.002939,0.479803,0.41886,0
0.875979,0.489362,0.033025,0.649212,0.002293,0.525117,0.279386,0
0.433919,0.893617,0.046535,0.371318,0.003467,0.422915,0.414912,0
0.009026,0.319149,0.090159,0.628236,0.003467,0.422915,0.414912,0
0.455998,0.829787,0.050168,0.695924,0.003411,0.577162,0.434649,1
0.455511,0.489362,0.038099,0.519637,0.002522,0.382962,0.75,0
0.867616,1.0,0.036478,0.382624,0.002345,0.4029,0.786404,1
0.026813,0.680851,0.120121,0.553258,0.003467,0.422915,0.414912,1
0.021857,0.382979,0.110784,0.533323,0.003467,0.422915,0.414912,1
0.880802,0.404255,0.029422,0.451205,0.001942,0.467115,0.642105,1
0.43414,0.212766,0.071965,0.303184,0.003467,0.422915,0.414912,1
0.013849,0.723404,0.090068,0.60488,0.003467,0.422915,0.414912,1
0.903544,0.510638,0.084724,0.516215,0.005625,0.461937,0.501754,1
0.491261,0.0,0.077339,0.437816,0.005343,0.389436,0.287281,1
0.03168,0.553191,0.059926,0.473371,0.003467,0.422915,0.414912,0
0.885049,0.468085,0.035997,0.429783,0.00231,0.282755,0.726754,0
0.469448,0.893617,0.028552,0.37712,0.001907,0.306836,0.632018,0
0.461042,0.425532,0.033025,0.439453,0.00227,0.279907,0.476754,1
0.907349,0.106383,0.053291,0.229991,0.003571,0.376489,0.54693,0
0.45613,0.595745,0.028071,0.331449,0.001581,0.264889,0.72193,0
0.469669,1.0,0.040921,0.261232,0.002754,0.33014,0.545614,0
0.424494,0.617021,0.055242,0.154418,0.003467,0.422915,0.414912,0
0.89912,0.425532,0.085775,0.60235,0.005758,0.613154,0.462719,1
0.894297,0.829787,0.068452,0.627194,0.004516,0.529001,0.606579,1
0.008849,0.531915,0.041582,0.353317,0.003467,0.422915,0.414912,0
0.898544,0.319149,0.077669,0.40717,0.005079,0.348265,0.699123,1
0.017433,0.425532,0.1185,0.518001,0.003467,0.422915,0.414912,1
0.968895,0.787234,0.587847,0.63493,0.038714,0.490937,0.747368,1
0.907438,0.489362,0.089138,0.508033,0.00603,0.532367,0.380263,1
0.881377,0.191489,0.027561,0.12526,0.001057,0.220611,0.72193,0
0.884695,0.851064,0.031104,0.416989,0.002,0.41274,0.632018,0
0.915623,0.93617,0.063438,0.435138,0.004287,0.313568,0.455702,0
0.867528,0.06383,0.036358,0.210354,0.00178,0.364319,0.731579,1
0.434184,0.702128,0.10505,0.557423,0.003467,0.422915,0.414912,1
0.0,0.212766,0.044374,0.168997,0.003467,0.422915,0.414912,1
0.44237,0.212766,0.041732,0.146385,0.002931,0.139306,0.500526,0
0.00969,0.87234,0.041732,0.596549,0.003467,0.422915,0.414912,0
0.45998,0.680851,0.030353,0.459685,0.002059,0.447954,0.341228,0
0.465289,0.404255,0.073046,0.528414,0.005021,0.493527,0.315789,1
0.004336,0.93617,0.045394,0.480661,0.003467,0.422915,0.414912,0
0.018406,0.255319,0.089648,0.317316,0.003467,0.422915,0.414912,1
0.464758,0.723404,0.02648,0.333383,0.00178,0.250129,0.548684,0
0.876333,0.106383,0.023118,0.168253,0.000839,0.306059,0.753947,0
0.486837,0.06383,0.062508,0.324159,0.004321,0.398498,0.244737,1
0.425645,0.93617,0.082323,0.344243,0.003467,0.422915,0.414912,1
0.911376,0.893617,0.03981,0.405385,0.002576,0.363283,0.590351,0
0.00969,0.808511,0.041612,0.687147,0.003467,0.422915,0.414912,0
0.890226,0.531915,0.740633,0.497917,0.001759,0.445365,0.414912,1
0.004336,0.170213,0.043533,0.170783,0.003467,0.422915,0.414912,0
0.001062,0.851064,0.043983,0.5241,0.003467,0.422915,0.414912,0
0.868192,0.914894,0.028161,0.458792,0.000839,0.300621,0.768421,0
0.429627,0.148936,0.071364,0.140881,0.003467,0.422915,0.414912,1
0.02699,0.425532,0.093671,0.35421,0.003467,0.422915,0.414912,1
0.004867,0.085106,0.061637,0.238024,0.003467,0.422915,0.414912,0
0.464316,0.723404,0.028582,0.418328,0.001957,0.448213,0.448684,0
0.890226,0.638298,0.76327,0.423237,0.000839,0.414811,0.414912,1
0.44268,0.382979,0.080611,0.595954,0.005496,0.56784,0.405702,1
0.424627,0.978723,0.058394,0.253198,0.003467,0.422915,0.414912,0
0.465422,0.234043,0.020716,0.08316,0.000868,0.095287,0.734649,0
0.005,0.638298,0.042752,0.462511,0.003467,0.422915,0.414912,0
0.429671,0.702128,0.099075,0.641922,0.003467,0.422915,0.414912,1
0.465466,0.978723,0.030053,0.406427,0.002054,0.352926,0.45307,0
0.000354,0.340426,0.179596,0.544183,0.003467,0.422915,0.414912,1
0.447104,0.723404,0.075808,0.747099,0.005278,0.654065,0.409211,1
0.425601,0.106383,0.055242,0.068432,0.003467,0.422915,0.414912,0
0.451838,0.744681,0.041762,0.723297,0.002744,0.511652,0.467982,1
0.438122,0.340426,0.081182,0.478578,0.003467,0.422915,0.414912,1
0.872439,0.553191,0.106251,0.703511,0.007025,0.843086,0.176316,1
0.429981,0.255319,0.081752,0.447932,0.003467,0.422915,0.414912,0
0.451529,0.787234,0.040921,0.746206,0.00269,0.534697,0.699123,1
0.455555,0.851064,0.037619,0.623178,0.002511,0.456499,0.726754,1
0.890138,0.595745,0.059805,0.634781,0.004231,0.737183,0.247807,0
0.001062,0.297872,0.043983,0.507587,0.003467,0.422915,0.414912,0
0.876421,0.510638,0.029002,0.333085,0.00096,0.234335,0.861842,1
0.013008,0.0,0.092981,0.541506,0.003467,0.422915,0.414912,1
0.433432,0.404255,0.093071,0.583309,0.003467,0.422915,0.414912,1
0.894695,0.680851,0.087306,0.644451,0.005887,0.677887,0.373246,1
0.867882,0.574468,0.032815,0.648319,0.002102,0.812015,0.447807,1
0.452281,0.978723,0.041191,0.601458,0.002424,0.509839,0.639474,1
0.87651,0.042553,0.025489,0.247843,0.00135,0.377007,0.708772,0
0.884695,0.574468,0.033055,0.420113,0.002098,0.311238,0.667544,1
0.42976,0.553191,0.093461,0.639988,0.003467,0.422915,0.414912,1
0.430025,0.638298,0.099075,0.62645,0.003467,0.422915,0.414912,1
0.464316,0.914894,0.02678,0.329813,0.001811,0.335836,0.558772,0
0.424627,0.659574,0.074817,0.294109,0.003467,0.422915,0.414912,1
0.000575,0.723404,0.119731,0.603987,0.003467,0.422915,0.414912,1
0.876377,0.574468,0.032245,0.44942,0.001959,0.319782,0.90614,1
0.902969,0.680851,0.102228,0.494198,0.007025,0.684619,0.215789,1
0.004292,0.659574,0.046806,0.505653,0.003467,0.422915,0.414912,0
0.009557,0.510638,0.041642,0.572746,0.003467,0.422915,0.414912,0
0.86828,0.297872,0.029783,0.357632,0.001703,0.276282,0.792982,0
0.867307,0.765957,0.028041,0.373847,0.00189,0.374935,0.607456,0
0.880315,0.382979,0.044914,0.541803,0.003135,0.524081,0.204825,1
0.433609,1.0,0.067341,0.383963,0.003467,0.422915,0.414912,0
0.889784,0.914894,0.033415,0.646087,0.002331,0.539617,0.391228,0
0.027477,0.446809,0.076888,0.551175,0.003467,0.422915,0.414912,1
0.030972,0.404255,0.089828,0.42532,0.003467,0.422915,0.414912,1
0.867174,0.0,0.035247,0.306308,0.002385,0.228379,0.412281,0
0.470023,0.489362,0.029182,0.341416,0.001982,0.204298,0.56886,1
0.442724,0.446809,0.07896,0.556382,0.005415,0.555412,0.376754,0
0.884828,0.404255,0.029693,0.590598,0.002,0.597359,0.376316,0
0.00469,0.212766,0.075627,0.242339,0.003467,0.422915,0.414912,0
0.000796,0.12766,0.074877,0.203957,0.003467,0.422915,0.414912,0
0.995575,0.297872,0.034796,0.234752,0.002113,0.181771,0.852193,0
0.871687,0.893617,0.028462,0.324159,0.001813,0.233817,0.833333,1
0.022654,0.297872,0.089108,0.224784,0.003467,0.422915,0.414912,1
0.465245,0.446809,0.057494,0.499107,0.004005,0.505179,0.191228,1
0.000664,0.425532,0.143539,0.602648,0.003467,0.422915,0.414912,1
0.433521,0.404255,0.075327,0.523059,0.003467,0.422915,0.414912,1
0.464404,0.319149,0.037769,0.396906,0.002607,0.431901,0.248246,1
0.880802,0.021277,0.027201,0.263017,0.001005,0.260487,0.818421,0
0.460466,0.12766,0.022727,0.129277,0.001537,0.198343,0.630702,0
0.912482,0.531915,0.087036,0.518001,0.005889,0.563956,0.35,1
0.455599,0.723404,0.03966,0.732371,0.002624,0.611859,0.499561,0
0.885625,0.297872,0.033115,0.313448,0.002154,0.283532,0.717982,0
0.86713,0.170213,0.027471,0.125855,0.001853,0.089332,0.604386,0
0.469581,0.723404,0.046445,0.473817,0.003128,0.441222,0.369298,1
0.004159,0.510638,0.044134,0.38069,0.003467,0.422915,0.414912,0
0.468917,0.255319,0.037048,0.392443,0.002534,0.447954,0.239035,1
0.977744,0.489362,0.029362,0.554597,0.002046,0.584671,0.306579,0
0.876908,0.914894,0.028672,0.420411,0.001886,0.301398,0.652193,0
0.995575,0.021277,0.080461,0.346474,0.005258,0.371569,0.60614,1
0.902703,0.446809,0.073136,0.532133,0.004796,0.593216,0.536404,1
0.868147,0.404255,0.033866,0.628087,0.002198,0.518902,0.594298,1
0.44706,0.340426,0.124745,0.711693,0.008486,0.63594,0.419737,1
0.004159,0.808511,0.044254,0.469652,0.003467,0.422915,0.414912,0
0.890182,0.659574,0.027831,0.590003,0.001946,0.586484,0.414912,0
0.866953,0.914894,0.029602,0.323713,0.001961,0.198084,0.835965,0
0.907836,0.808511,0.043803,0.399286,0.002933,0.343863,0.541667,1
0.885625,0.361702,0.06626,0.515174,0.004341,0.379855,0.666228,1
0.424627,0.340426,0.085235,0.33249,0.003467,0.422915,0.414912,1
0.456086,0.042553,0.063048,0.523059,0.004626,0.491973,0.416228,1
0.013362,0.680851,0.074817,0.521422,0.003467,0.422915,0.414912,0
0.44706,0.361702,0.124685,0.707825,0.008519,0.643449,0.342544,1
0.026503,0.319149,0.096343,0.474264,0.003467,0.422915,0.414912,1
0.425556,0.723404,0.076258,0.311366,0.003467,0.422915,0.414912,1
0.903146,0.723404,0.048667,0.317019,0.003214,0.313309,0.635526,0
0.894739,0.382979,0.142819,0.782803,0.009449,0.773433,0.391228,1
0.438432,0.702128,0.061247,0.476941,0.003467,0.422915,0.414912,1
0.968895,0.361702,0.057434,0.41446,0.003691,0.256085,0.746491,1
0.880448,0.489362,0.038549,0.585838,0.002661,0.53159,0.321491,1
0.907615,0.06383,0.058965,0.321928,0.004011,0.478509,0.404825,0
0.000708,0.340426,0.124204,0.58078,0.003467,0.422915,0.414912,1
0.014159,0.404255,0.07938,0.648616,0.003467,0.422915,0.414912,1
0.005044,0.255319,0.086075,0.380988,0.003467,0.422915,0.414912,1
0.86797,0.531915,0.049538,0.45418,0.00307,0.330917,0.846053,1
0.908013,0.06383,0.049898,0.264207,0.003338,0.451321,0.484211,0
0.005309,0.170213,0.075808,0.21571,0.003467,0.422915,0.414912,0
0.018274,0.255319,0.062027,0.291729,0.003467,0.422915,0.414912,1
0.009026,0.893617,0.044134,0.649955,0.003467,0.422915,0.414912,0
0.01792,0.531915,0.082593,0.477834,0.003467,0.422915,0.414912,1
0.009867,0.765957,0.047286,0.765695,0.003467,0.422915,0.414912,0
0.464758,0.638298,0.027681,0.330259,0.001847,0.226049,0.638596,0
0.88912,0.106383,0.027261,0.275662,0.001811,0.365355,0.574561,0
0.018185,0.106383,0.046866,0.230884,0.003467,0.422915,0.414912,0
0.911331,0.638298,0.107752,0.486462,0.007353,0.613672,0.332895,1
0.893633,0.170213,0.044884,0.245909,0.00284,0.345417,0.804825,0
0.876333,0.595745,0.038279,0.718982,0.00253,0.665976,0.514912,1
0.898589,0.893617,0.094122,0.562184,0.005972,0.407302,0.504386,1
0.469448,0.510638,0.049147,0.502231,0.003292,0.48783,0.409211,1
0.907526,0.106383,0.037438,0.129128,0.002503,0.228638,0.588158,0
0.473563,0.340426,0.02693,0.228503,0.001805,0.117556,0.693421,1
0.438963,0.0,0.048337,0.27224,0.003467,0.422915,0.414912,0
0.474138,0.297872,0.028041,0.435882,0.001886,0.380891,0.658772,0
0.45113,0.510638,0.041612,0.631657,0.002786,0.583635,0.358333,0
0.876598,0.787234,0.028251,0.521868,0.001843,0.478509,0.67807,0
0.031149,0.340426,0.093011,0.511306,0.003467,0.422915,0.414912,1
0.001062,0.574468,0.043983,0.458941,0.003467,0.422915,0.414912,0
0.031901,0.87234,0.058424,0.236983,0.003467,0.422915,0.414912,0
0.460466,0.531915,0.024078,0.291729,0.00161,0.278094,0.770614,0
0.87151,0.829787,0.028522,0.571556,0.001826,0.482651,0.807895,0
0.447856,0.276596,0.033295,0.218685,0.00097,0.120145,0.765789,0
0.898323,0.191489,0.044464,0.228652,0.002871,0.300363,0.742544,0
0.473165,0.425532,0.028312,0.572449,0.001874,0.516313,0.396491,0
0.455511,0.319149,0.037799,0.493008,0.002036,0.292336,0.617544,0
0.876067,0.702128,0.028131,0.311961,0.000858,0.275505,0.812719,1
0.437812,0.574468,0.065089,0.484975,0.003467,0.422915,0.414912,1
0.009203,0.702128,0.103339,0.673163,0.003467,0.422915,0.414912,1
0.017566,0.787234,0.088507,0.653228,0.003467,0.422915,0.414912,1
0.446883,0.148936,0.002732,0.202172,0.000177,0.230968,0.566667,0
0.907792,0.191489,0.02567,0.110681,0.001672,0.187727,0.709211,0
0.867661,0.787234,0.057494,0.380393,0.003833,0.588037,0.373246,1
0.000265,0.829787,0.13105,0.526034,0.003467,0.422915,0.414912,1
0.899164,0.851064,0.086346,0.47471,0.005567,0.416624,0.599123,1
0.452325,0.0,0.038579,0.573936,0.00257,0.5,0.69386,1
0.880979,0.723404,0.028942,0.338143,0.00103,0.281719,0.706579,1
0.867263,0.212766,0.031134,0.224487,0.002059,0.208182,0.654386,0
0.968895,0.829787,0.169839,0.584796,0.011057,0.457017,0.790789,1
0.460334,0.808511,0.149003,0.603094,0.010282,0.598912,0.167105,1
0.030884,0.617021,0.102348,0.545076,0.003467,0.422915,0.414912,1
0.429008,0.829787,0.077489,0.432907,0.003467,0.422915,0.414912,1
0.455732,0.404255,0.046145,0.664386,0.002621,0.613672,0.558772,1
0.902925,0.638298,0.085775,0.47471,0.005775,0.567323,0.443421,1
0.482412,0.510638,0.077999,0.475454,0.00542,0.490161,0.285526,1
0.009646,0.319149,0.045605,0.631508,0.003467,0.422915,0.414912,0
0.429229,0.978723,0.056593,0.310622,0.003467,0.422915,0.414912,0
0.880536,0.212766,0.032154,0.202172,0.002067,0.236924,0.669737,0
0.876775,0.170213,0.0257,0.204403,0.001643,0.247022,0.832895,0
0.889828,0.0,0.082863,0.601012,0.005546,0.505179,0.627632,0
0.45644,1.0,0.033686,0.403451,0.002279,0.455205,0.351316,1
0.872395,0.382979,0.027981,0.55787,0.001749,0.553858,0.679825,0
0.911287,0.851064,0.042632,0.417138,0.002738,0.299327,0.662719,0
0.469404,0.404255,0.027921,0.353169,0.001834,0.203521,0.747368,0
0.452192,0.340426,0.033025,0.354359,0.001973,0.14552,0.669298,0
0.017831,0.851064,0.083373,0.52172,0.003467,0.422915,0.414912,1
0.885492,0.446809,0.029302,0.521422,0.001998,0.596841,0.319298,0
0.031724,0.085106,0.05302,0.108896,0.003467,0.422915,0.414912,0
0.912261,0.446809,0.085625,0.538679,0.00587,0.583376,0.267982,1
0.898412,0.446809,0.083854,0.590152,0.005544,0.686432,0.459211,1
0.000531,0.574468,0.080731,0.275513,0.003467,0.422915,0.414912,1
0.871554,0.148936,0.021466,0.192205,0.000841,0.271621,0.886404,0
0.000575,0.829787,0.045515,0.562928,0.003467,0.422915,0.414912,0
0.912305,0.276596,0.101117,0.483785,0.007038,0.619627,0.239035,1
0.867528,0.702128,0.037288,0.573936,0.002472,0.750647,0.425439,1
0.434273,0.808511,0.049628,0.347813,0.003467,0.422915,0.414912,1
0.464758,0.574468,0.028071,0.344838,0.001878,0.258933,0.595614,0
0.443299,0.851064,0.044944,0.548944,0.003049,0.496634,0.494737,0
0.437901,0.382979,0.061817,0.514133,0.003467,0.422915,0.414912,1
0.893677,0.446809,0.041311,0.521273,0.002628,0.350337,0.757456,0
0.465289,0.297872,0.033415,0.400476,0.002316,0.409632,0.25,0
0.907216,0.680851,0.051729,0.25543,0.003434,0.310461,0.582018,0
0.912128,0.702128,0.043473,0.302142,0.002877,0.280943,0.609211,1
0.881156,0.978723,0.032995,0.470247,0.002025,0.452097,0.672807,1
0.875802,0.510638,0.031164,0.342606,0.001759,0.24521,0.857018,1
0.473607,0.765957,0.027951,0.43737,0.001917,0.57768,0.267105,0
0.447148,0.234043,0.01339,0.305564,0.00086,0.243656,0.66886,0
0.464404,0.765957,0.074997,0.462214,0.005174,0.474366,0.323684,1
0.429804,0.978723,0.060826,0.420857,0.003467,0.422915,0.414912,0
0.889474,0.638298,0.027231,0.516067,0.001942,0.569135,0.257456,0
0.022477,0.489362,0.109283,0.504314,0.003467,0.422915,0.414912,1
0.876687,0.829787,0.029272,0.443916,0.001653,0.362765,0.679825,0
0.45998,0.340426,0.049057,0.53853,0.003346,0.531072,0.265789,0
0.451971,0.680851,0.033626,0.595954,0.002283,0.55101,0.369737,0
0.889872,0.0,0.094031,0.60845,0.006138,0.51217,0.688158,1
0.018318,0.829787,0.0789,0.458346,0.003467,0.422915,0.414912,1
0.894385,0.148936,0.049928,0.266141,0.00328,0.398498,0.698246,0
0.894075,0.531915,0.072655,0.623773,0.004954,0.670378,0.39386,0
0.434671,0.021277,0.044314,0.166468,0.003467,0.422915,0.414912,0
0.438388,0.531915,0.064459,0.500298,0.003467,0.422915,0.414912,0
0.881465,0.404255,0.029002,0.518596,0.001973,0.605127,0.224561,0
0.022034,0.893617,0.045965,0.262571,0.003467,0.422915,0.414912,0
0.447768,0.489362,0.059295,0.640434,0.004098,0.581823,0.325,1
0.42914,0.510638,0.080881,0.596549,0.003467,0.422915,0.414912,1
0.438255,0.87234,0.056833,0.323713,0.003467,0.422915,0.414912,1
0.008672,0.170213,0.042272,0.22776,0.003467,0.422915,0.414912,0
0.004425,0.446809,0.050168,0.577358,0.003467,0.422915,0.414912,0
0.87651,0.021277,0.028161,0.301398,0.000841,0.314345,0.708772,0
0.876466,0.340426,0.033746,0.567688,0.002144,0.515795,0.706579,1
0.881067,0.680851,0.099225,0.516513,0.006932,0.508545,0.356579,1
0.885005,0.957447,0.068302,0.401369,0.004668,0.344122,0.432895,0
0.429229,0.553191,0.085655,0.457453,0.003467,0.422915,0.414912,1
0.443476,0.06383,0.047316,0.387385,0.003714,0.468669,0.460088,0
